Unique Items
View source
Unique Items are the second-most common item to find and bear the words "Unique Item" in their lore in yellow text. Unique items can be identified at the Identifier for decent ID's, sometimes better than Rares and Legendaries around the same level.

They are rarer than Normal items, but more common than all other rarities.


Contents
1	List of Unique Items
1.1	Weapons
1.1.1	Bows
1.1.2	Spears
1.1.3	Wands
1.1.4	Daggers
1.1.5	Reliks
1.2	Armour
1.2.1	Helmets
1.2.2	Chestplates
1.2.3	Leggings
1.2.4	Boots
1.3	Accessories
1.3.1	Rings
1.3.2	Necklaces
1.3.3	Bracelets
2	Navigation
List of Unique Items
Weapons
Bows
Name	Lv. Min	Quest Req	Neutral Dam.	Earth Dam.	Thunder Dam.	Water Dam.	Fire Dam.	Air Dam.	Str. Min	Dex. Min	Int. Min	Def. Min	Agi. Min	Attack Speed	Slots	First ID
Incense Burner	34	-	36-46	-	-	-	31-51	-	-	-	-	15	-	Slow	2	?
Echolocation	35	-	39-45	-	-	-	-	-	-	-	-	-	-	Very Fast	2	?
Reversal	36	-	17-23	23-30	-	-	-	23-30	12	-	-	-	12	Normal	1	?
Window Pane	37	-	11-13	-	27-33	27-33	-	-	-	13	13	-	-	Normal	2	?
Zipper	38	-	5-7	-	50-70	-	-	-	-	20	-	-	-	Normal	2	?
Hue	39	-	17-20	17-20	17-20	17-20	17-20	17-20	9	9	9	9	9	Slow	2	?
Foehn Wind	41	-	60-68	-	-	-	56-72	52-76	-	-	-	14	14	Very Slow	2	?
Hotline	42	-	36-42	-	36-42	-	36-42	-	-	15	-	15	-	Slow	2	?
Tearing Seam	43	-	20-26	23-29	-	-	17-23	-	16	-	-	16	-	Fast	2	?
Vibrato	44	-	21-22	-	55-56	-	-	55-56	-	16	-	-	16	Slow	2	?
Rectificator	45	-	80-100	-	-	-	-	-	-	-	-	-	-	Normal	3	?
Col Legno	48	-	25-30	30-35	30-35	-	-	-	24	24	-	-	-	Fast	2	?
Holocene	49	-	40-60	90-110	-	-	-	-	25	-	-	-	-	Slow	2	?
Running Water	50	-	10-30	-	-	50-70	-	-	-	-	30	-	-	Fast	2	?
Ignatius	50	-	20-30	-	-	-	70-80	-	-	-	-	25	-	Normal	2	?
Armour
Helmets
Name	Lv. Min	Quest Req	Health	Earth Def.	Thunder Def.	Water Def.	Fire Def.	Air Def.	Str. Min	Dex. Min	Int. Min	Def. Min	Agi. Min	Slots	First ID
Hairy Cap	1	-	4	-	-	-	-	-	-	-	-	-	-	1	?
Soft Helmet	4	-	10	?	?	?	?	?	-	-	-	-	-	?	?
Thinking Helmet	4	-	8	?	?	?	?	?	-	-	-	-	-	?	?
Helmet of Intelligence	6	-	13	?	?	?	?	?	-	-	-	-	-	?	?
Skin Cap	7	-	16	?	?	?	?	?	-	-	-	-	-	?	?
Helmet of Wisdom	12	-	30	?	?	?	?	?	-	-	2	-	-	?	?
Upside Down Bowl	12	-	30	?	?	?	?	?	-	-	-	-	-	?	?
Leather Face	13	-	40	?	?	?	?	?	-	3	-	3	-	?	?
Creeper Mask	14	Creeper Infiltration	56	-	-	-	-	-	-	-	-	-	-	0	10
The Old King's Crown	14	-	56	?	?	?	?	?	-	-	-	5	-	?	?
Butter Helmet	15	-	56	?	?	?	?	?	-	-	-	-	-	?	?
Zombie Helm	18	-	75	?	?	?	?	?	-	-	-	-	-	?	?
Mercenary Hood	19	-	120	?	?	?	?	?	-	5	-	-	-	?	?
Mustard Helmet	22	-	90	?	?	?	?	?	3	-	3	-	-	?	?
Sunblock	24	-	121	?	?	?	?	?	-	-	-	5	-	?	?
DuskHelm	26	-	125	?	?	?	?	?	-	-	-	-	-	?	?
Rubber Helm	29	-	165	?	?	?	?	?	-	-	-	-	-	?	?
Hood of the Resistance	32	-	175	?	?	?	?	?	15	-	-	-	-	?	?
Hilltop	33	-	210	?	?	?	?	?	-	-	-	-	-	?	?
Pierced Helmet	37	-	260	?	?	?	?	?	-	-	-	-	-	?	?
Faded	39	-	190	?	?	?	?	?	-	-	-	-	-	?	?
Assassin's Hood	41	-	315	-10	-	-	-	-	-	-	-	-	-	1	?
Climbing Helmet	42	Ice Nations	350	30	-	-	-	30	-	-	-	-	-	2	24
Helm of the Dead	44	-	390	15	20	-	-	-30	5	5	-	-	-	2	?
Whistling Helmet	47	-	430	?	?	?	?	?	-	-	-	-	30	2	27
White Storm	48	-	510	?	?	?	-20	25	-	-	-	-	-	1	27
Factory Helmet	50	An Iron Heart I	500	-	-	-	-	-	-	-	-	-	-	?	-
Snow Dust	52	-	550	-20	25	-	-20	25	-	-	-	-	-	2	29
Capstone	55	-	750	?	?	?	?	?	-	-	-	20	-	?	31
Blueberry	58	-	870	?	?	?	?	?	-	-	-	-	-	?	?
Jungle Sludge	60	-	950	?	?	?	?	?	-	-	-	-	-	?	33
Helmet of Blue Stone	62	-	1050	?	?	?	?	?	5	5	5	5	5	?	?
Marrow	65	-	1100	?	?	?	?	?	-	-	-	-	-	?	?
StealSkull	68	-	960	?	?	?	?	?	-	-	-	-	-	?	37
Cumulus	70	-	1225	?	?	?	?	?	-	-	-	-	40	?	38
Iodide	73	-	1180	?	?	?	?	?	-	20	10	-	-	?	?
Bloodshed	75	Two Towers	1740	?	?	?	?	?	-	-	-	-	-	?	?
Destruction	75	Two Towers	1430	?	?	?	?	?	-	-	-	-	-	?	?
Suicide	75	Two Towers	1600	?	?	?	?	?	-	-	-	-	-	?	?
Jewel	76	-	1645	?	?	?	?	?	-	-	-	-	-	?	?
Swamp Clay	78	-	1600	?	?	?	?	?	35	-	30	-	-	?	?
Exosphere	81	-	1925	-10	100	-	-	-	-	40	-	-	10	2	?
Skywatcher	84	-	2100	-	-	-	-100	100	-	-	25	-	45	2	?
Pilot Light	86	-	2200	-	-	-40	90	-	-	-	-	35	-	1	?
Moonbeam	89	-	1800	?	?	?	?	?	-	-	50	-	-	?	?
Quartzite Helm	91	-	2550	-	-	-	-	-	-	-	-	-	-	4	?
Breakdown	93	-	2175	?	?	?	?	?	-	-	65	-	-	?	?
Sunray	96	-	2850	?	?	?	?	?	-	20	-	20	-	?	?
Rodoroc's Pride	98	-	2500	?	?	?	?	?	50	-	-	50	-	?	?
Aquamarine	100	-	3000	?	?	?	?	?	30	-	45	-	-	?	?
Chestplates
Name	Lv. Min	Quest Req	Health	Earth Def.	Thunder Def.	Water Def.	Fire Def.	Air Def.	Str. Min	Dex. Min	Int. Min	Def. Min	Agi. Min	Slots	First ID
Scarab	2	-	6	?	?	?	?	?	-	-	-	-	-	?	?
Shining Cloak	4	-	12	?	?	?	?	?	-	-	-	-	-	?	?
Solidified Chestplate	4	-	14	?	?	?	?	?	-	-	-	-	-	?	?
Abandoned Tunic	6	-	22	?	?	?	?	?	-	-	-	-	-	?	?
Log Suit	6	-	21	?	?	?	?	?	-	-	-	-	-	?	?
Runner's Vest	9	-	24	?	?	?	?	?	-	-	-	-	5	?	?
Iron Mail	12	-	40	?	?	?	?	?	5	-	-	-	-	?	?
Mail of the Berserker	12	-	34	?	?	?	?	?	-	-	-	-	-	?	?
Collier Tunic	14	-	55	?	?	?	?	?	-	-	-	10	-	?	?
NightMail	16	-	56	?	?	?	?	?	-	3	-	-	3	?	?
Ragged	19	-	60	?	?	?	?	?	-	-	-	-	-	?	?
Dandelion	22	-	100	?	?	?	?	?	-	-	-	-	-	?	?
Fisher's Mail	22	-	82	?	?	?	?	?	-	-	-	-	-	?	?
Gilded Mail	24	-	100	?	?	?	?	?	-	-	-	-	-	?	?
Hero's Beginning	27	-	140	3	3	3	3	3	15	-	-	-	-	0	?
Detlas' Skin	29	-	172	?	?	?	?	?	-	-	5	5	-	?	?
Perfumed Chestplate	32	-	195	-	-20	-	-	-	-	-	2	-	-	1	?
The Thief	34	-	180	-	-	-	-	-	-	-	-	-	-	1	?
Copper Plate	35	-	225	-	-8	-	-8	-	-	15	-	5	-	1	?
Pebble Mesh	37	-	190	15	-	-	-	-10	15	-	-	-	-	2	?
Chains of Steel	38	-	280	-	-	-	-	-	-	-	-	-	-	2	?
Feithid	40	-	270	-	-	-	-5	-	-	-	-	-	20	2	?
Nilrem's Curse	40	-	310	?	?	?	?	?	-	15	-	-	-	?	?
Ringing Mail	41	-	295	-	-20	20	-	-	-	-	20	-	-	2	?
The Knight's Chestplate	43	-	440	?	?	?	?	?	-	-	-	-	-	?	?
Homemade Fur Coat	44	-	375	?	?	?	?	?	-	-	-	-	15	?	?
Bob's Battle Chestplate	45	Bob's Lost Soul	450	-	-	-	-	-	-	-	-	-	-	3	?
Steel Mail	46	-	415	-	-	-	-	-	-	-	-	-	-	2	26
Iron Scrap	48	-	600	30	-	-	30	-40	10	-	-	5	-	2	?
Pigman's Ribbing	50	-	550	?	?	?	?	?	20	-	-	-	-	?	28
Heart of Fire	52	-	650	-	-	-35	35	-	-	-	-	30	-	1	29
Nesaak's Shadow	54	-	730	-	-30	50	-	-	-	10	-	-	10	1	?
Dragon Skin	57	-	800	-	-	-20	30	-	-	-	-	10	-	2	32
StoneWall	60	-	1000	150	-10	-10	-10	-50	30	-	-	-	-	1	?
Onenya Hronkas	60	-	1150	100	-	-50	100	-50	30	-	-	85	-	2	33
Opalite	62	-	1000	?	?	?	?	?	-	-	6	-	-	?	?
Sky Reflector	65	-	1100	?	?	?	?	?	-	-	-	-	-	?	?
Calcite	67	-	1500	?	?	?	50	?	-	-	-	20	-	3	?
Coursing Mail	68	-	1250	?	?	?	?	?	-	25	-	-	-	?	?
Carapace	70	-	1400	?	?	?	?	?	20	-	-	-	-	?	?
Cloud Cover	72	-	1070	?	?	?	?	?	-	-	15	-	40	?	?
Venomsoul	75	-	1600	?	?	?	?	?	20	-	-	20	-	?	?
Angel Robe	78	-	1450	?	?	?	?	?	-	-	-	-	25	?	?
Screech	80	-	1800	?	?	?	?	?	-	-	-	-	-	?	?
Spinal Tap	82	-	1975	-	-	-	-	-	-	-	-	45	-	?	?
Meteoric Aegis	85	-	1700	?	?	?	?	?	10	10	10	10	10	?	?
Umbral Mail	87	-	1950	-	80	80	-120	-	-	25	25	-	-	2	?
Terra's Mold	90	-	2500	100	-	-	-	-100	60	-	-	-	-	3	?
Azurite	92	-	2500	?	?	?	?	?	40	-	25	-	-	?	?
Nether's Reach	95	-	2750	?	?	?	?	?	-	20	-	40	-	?	?
Calidade Mail	97	-	3000	?	?	?	?	?	-	-	-	-	-	?	?
Sparkling Plate	99	-	2600	?	?	?	?	?	-	35	-	-	35	?	?
Leggings
Name	Lv. Min	Quest Req	Health	Earth Def.	Thunder Def.	Water Def.	Fire Def.	Air Def.	Str. Min	Dex. Min	Int. Min	Def. Min	Agi. Min	Slots	First ID
Shin Guards	3	-	8	?	?	?	?	?	-	-	-	-	-	?	?
Starched Pants	5	-	16	?	?	?	?	?	-	-	-	3	-	?	?
Battle Leggings	7	-	20	?	?	?	?	?	-	-	-	-	-	?	?
Funnel	7	-	20	?	?	?	?	?	-	-	-	-	-	?	?
Iron Incrusted Pants	9	-	42	?	?	?	?	?	5	-	-	-	-	?	?
Arcane Grieves	10	-	35	?	?	?	?	?	-	-	-	-	-	?	?
Mud Leggings	13	-	46	?	?	?	?	?	5	-	-	-	-	?	?
Pigman's Loincloth	16	-	63	?	?	?	?	?	-	-	-	-	-	?	?
Golden Pants of Fortune	19	-	70	?	?	?	?	?	-	-	-	-	-	?	?
Leech Leggings	20	-	85	?	?	?	?	?	-	-	-	-	-	?	?
Regal Chaps	23	-	90	-	-	-	-	-	-	-	-	-	-	1	?
Back Protector	24	-	85	?	?	?	?	?	5	-	-	-	-	?	?
Bronze-Plated Greaves	26	-	140	?	?	?	?	?	5	-	-	5	-	?	?
Verstand	28	-	130	?	?	?	?	?	-	-	16	-	-	?	?
Spider Silk Carduroys	29	-	185	?	?	?	?	?	-	-	-	-	-	?	?
Zombified Pants	30	-	182	?	-3	?	-3	-3	-	-	-	-	-	1	?
Urheus	32	-	200	10	-	-	8	-15	10	-	-	5	-	1	?
Priest's Underwears	34	-	215	-15	25	-	-15	10	-	-	-	-	-	2	?
Sandstone Leggings	37	-	270	?	?	?	?	?	-	-	-	-	-	?	?
Mithril Leggings	39	-	350	-	-5	-5	-5	-5	20	-	-	-	-	1	23
DuskShield	42	-	350	?	?	?	?	?	-	10	10	-	-	?	?
Chain Link	45	-	400	-	-	-	-	-	5	5	5	5	5	3	?
Dragon Hide Leggings	47	-	510	-	-	-	-50	50	-	-	-	25	-	0	?
Cognizance	49	-	425	?	?	?	?	?	-	-	40	-	-	?	28
Overly Ironed Pants	51	-	610	-	-	-	-	-	-	-	-	-	-	3	29
Quartz-laced Leggings	53	-	660	-	-	-	-	-	-	-	-	-	-	2	30
Troms' Climbing Trousers	53	-	700	?	?	?	-30	+30	-	-	-	-	30	2	30
Bob's Lost Leggings	58	-	880	?	?	?	?	?	-	-	-	-	-	?	?
Mighty Pants	61	-	900	?	?	?	?	?	10	10	10	10	10	?	?
Collier's Guard	64	-	1100	?	?	?	?	?	-	-	-	25	-	?	?
Leg of the Scared	66	-	1100	?	?	?	?	?	-	-	-	-	25	?	?
Canopy	69	-	1300	?	?	?	?	?	-	-	-	-	-	?	?
Vortex	71	-	1000	?	?	?	?	?	-	35	-	-	55	?	?
Leggings of Restoration	74	-	1400	?	?	?	?	?	-	-	20	20	-	?	?
Meltsteel Greaves	77	-	2000	-	-	-80	-	-80	30	-	-	30	-	0	?
Ringlets	80	-	1800	?	?	?	?	?	-	-	-	-	-	?	?
Ley Lines	82	-	1975	-175	90	90	-	-	-	-	50	-	-	3	?
Touroto Trousers	85	-	2150	20	20	20	20	20	-	-	-	-	-	0	?
White-hot Leggings	88	-	2350	-	70	-200	100	-	-	15	-	30	-	2	?
Tailwind	91	-	2550	-	-	-	-150	150	-	-	-	-	60	3	?
Hero's End	94	-	2775	?	?	?	?	?	-	-	-	-	-	?	?
Turquoise	95	-	2800	?	?	?	?	?	35	-	35	-	-	?	?
Resolve	98	-	3075	-	-	-	100	100	-	-	-	40	40	2	?
Boots
Name	Lv. Min	Quest Req	Health	Earth Def.	Thunder Def.	Water Def.	Fire Def.	Air Def.	Str. Min	Dex. Min	Int. Min	Def. Min	Agi. Min	Slots	First ID
Plains Runner	1	-	8	-	-	-	-	-	-	-	-	-	-	0	?
Elven Moccasins	3	-	8	-	-	-	-	-	-	-	-	-	-	0	?
Bright Boots	5	-	15	-3	3	-	-	-	-	-	-	-	-	0	?
Merchant Sandals	7	-	18	-	-	-	-	-	-	-	-	-	-	1	?
Treasure Boots	7	Underwater	24	-	-	-	-	-	-	-	-	-	-	1	?
Plated Boots	8	-	35	-	-	-	-	-	2	-	-	-	-	1	?
Toes Tickler	8	-	20	-	-	-	-	-	-	-	-	-	3	1	?
Fruma Imported Boots	9	-	28	-	-	-	-	3	-	-	-	-	-	0	?
Ancient Scout Shoes	10	-	30	-	-	-	-	-	-	-	-	-	3	0	?
Slippery Boots	11	-	30	-	-	-	-4	4	-	-	-	-	4	1	9
Spiked Cleats	13	-	48	-	-	-	-	-	-	-	-	-	-	1	?
Aerolia Boots	14	Suspended Flowers	52	7	-	-	-5	-	-	-	-	-	-	1	-
Arcane Boots	15	-	40	2	2	2	2	2	-	-	5	-	-	2	11
Wormwood	17	-	70	6	-6	6	-	-6	5	-	5	-	-	0	?
Shajone	18	-	65	-	-	-	-	-	-	-	-	-	-	1	?
Hiker's Boots	20	-	85	7	-	-	-	-5	7	-	-	-	-	1	?
Mystic Sandals	22	-	85	-	-10	10	-	-	-	-	10	-	-	1	?
Boots of the Sorcerer	26	-	96	-	10	5	-	-	-	-	10	-	-	1	?
Lucky Boots	28	-	150	-	-	-	-	-	-	-	-	-	-	1	?
Coalwalkers	31	-	190	5	-	-15	15	-	5	-	-	10	-	1	?
Knight Boots	33	-	230	-	-	-10	-	-10	5	-	-	5	-	0	?
Crocodile	34	-	220	-	-	4	-	-	-	-	5	-	-	1	?
Skeleton Boots	36	-	200	-	-	-	-15	20	-	-	-	-	10	2	?
Copper-Alloy Boots	38	-	275	-10	8	-10	8	-	-	10	-	10	-	2	?
Ragni's Old Shoes	39	-	310	-	20	-	-	-10	-	-	-	-	-	0	?
Prosto Boots	42	-	350	-	-	-	-	-	-	-	-	-	-	2	?
Sandstorm Walker	44	-	435	-	20	-	-	-30	5	-	-	-	-	2	25
Bob's Sacrifice	45	-	290	-	-25	-	-	-	10	-	-	-	-	1	?
Dance Boots	46	-	400	-10	-	-	-10	15	-	-	-	-	20	1	?
Death's Toe	49	-	550	-10	15	-	-	-	-	10	-	-	-	2	?
Tainted Step	51	-	550	-	-	-25	-25	-25	30	-	-	-	-	1	29
Mistpuff	53	-	600	-	-60	20	-	30	-	-	15	-	20	2	?
Magmawalkers	56	-	775	25	-	-50	40	-30	10	-	-	20	-	1	31
Marsh Runner	58	-	920	-	-60	75	-	-	-	-	20	-	-	2	32
Racer's Shoes	60	-	725	-	-	-	-	-	-	-	-	-	40	1	?
Enderman's Feet	62	-	920	-	80	-30	-	-60	-	30	-	-	-	2	34
Whitewater	64	-	990	-	-80	70	-	-	-	-	35	-	-	2	?
Hell Walk	67	-	1100	-	-	-160	140	-	-	-	-	-	-	2	?
Ekeloch	69	-	1310	-	150	-	-	-150	-	-	-	-	-	2	?
Abyssal Walkers	71	-	1350	-	80	-100	80	-80	-	25	-	25	-	2	?
Way Back Home	75	-	1600	100	-100	-	-100	100	20	-	-	-	20	3	?
Aldorei's Tear	77	-	1550	50	-50	50	-	-10	10	-	10	-	-	3	?
Black Sheep	79	-	1000	-	-	-	-	-	50	-	-	-	-	2	?
Centennial	80	-	1800	-	-	100	100	-	-	-	20	20	-	0	?
Boots of Blue Stone	82	-	1950	30	30	30	30	30	8	8	8	8	8	1	?
Dart Frog's Skin	85	-	1950	40	-130	70	-	-	25	-	35	-	-	2	?
Flashing Boots	87	-	2250	-200	80	-	-	60	-	30	-	-	15	3	?
Wavedash	89	-	1880	-	-	90	-	90	-	-	25	-	20	3	?
Scaldsteppers	90	-	2075	-	-100	110	75	-90	-	-	35	25	-	1	?
Corruption Seal	92	-	2550	90	90	-100	-	-100	35	35	-	-	-	2	?
Undefined	94	-	2750	-	-	-	-	-	-	-	-	-	-	3	?
Sapphire	97	-	2800	40	-	120	-	-	20	-	60	-	-	2	?
Accessories
Rings
Name	Lv. Min	Quest Req	Health	Earth Def.	Thunder Def.	Water Def.	Fire Def.	Air Def.	Str. Min	Dex. Min	Int. Min	Def. Min	Agi. Min	First ID
Aluminium	3	-	-	-	-	-	-	-	-	-	-	-	-	?
Vine	4	-	-	-	-	-	-	-	-	-	-	-	-	?
Wedding Ring	5	-	-	-	-	-	-	-	-	-	-	-	-	?
Shock	6	-	-	-	-	-	-	-	-	-	-	-	-	?
Dusty Ring	8	-	-	-	-	-	-	-	-	-	-	-	-	?
Mind Cracker	8	-	-	-	-	-	-	-	-	-	2	-	-	?
Ring of Strength	9	-	-	-	-	-	-	-	-	-	-	-	-	?
Warmth	10	-	-	-	-	-	-	-	-	-	-	-	-	?
Clarity	12	-	-	-	-	-	-	-	-	-	-	-	-	?
Reflex	14	-	-	-	-	-	-	-	-	-	-	-	-	?
Eater	15	-	-	-	-	-	-	-	-	-	-	-	-	?
Diet	17	-	-	-	-	-	-	-	-	-	-	-	5	?
Lizard	18	-	18	-	-	-	-	-	-	-	-	-	-	?
Spider Ring	18	-	-	-	-	-	-	3	-	-	-	-	-	?
Ring of Focus	20	-	-	-	-	-	-	-	-	-	5	-	-	?
Echo	22	-	-	-	-	-	-	4	-	-	-	-	8	?
Lake	23	-	-	-	-	-	-	-	-	-	-	-	-	?
Boulder	24	-	-	6	-	-	-5	-	10	-	-	-	-	?
Juniper	26	-	-	-	-	-	-	-	8	-	-	-	-	?
Barrage	28	-	-	-	-	-	-	-	-	10	-	-	-	?
Red	30	-	20	-	-	-	4	-	-	-	-	-	-	?
Rusted Ring	31	-	24	-	-3	6	-	-	-	-	-	-	-	?
Libella	32	-	-	-	-	-	-	-	-	-	-	-	-	?
Glitz	34	-	-	-	-	-	-	-	-	-	-	-	-	?
Stonehall	35	-	-	-	-	-	-	-	15	-	-	-	-	?
Sandust	37	-	-	-	-	-	-	-	-	15	-	-	-	?
Firecloud	38	-	-	-	-	-	-	4	-	-	-	-	-	?
Gouttes	38	-	-	-	-4	8	-	-	-	-	20	-	-	?
Ehwaz	39	-	-	-	-	-	-	-	-	-	-	-	5	23
Chill	31	-	-15	-	-	5	-5	5	-	-	15	-	-	24
Okit	42	-	100	-	-	-4	10	-	-	-	-	-	-	24
Wastelands	44	-	-	-	-	-	-	-	20	-	-	-	-	?
Ripper	46	-	-	-6	-	-	-	-	-	25	-	-	-	?
Melody	48	-	-	-	-	-	-	6	-	-	-	-	24	27
Ozoth's Breath	49	-	160	-	-	-35	35	-	-	-	-	25	-	?
Tears	51	-	-	-	-	-	-	-	-	-	40	-	-	29
Return	53	-	-	-	-	-	-	-	-	-	-	-	-	?
Fingertrap	55	-	-	-	-	-	-	-	-	-	-	-	-	31
Rockworm	57	-	-	-	-	-	-	-	-	-	-	-	-	?
Sharp	58	-	-	-	-	-	-	-	-	-	-	-	-	?
Meep	59	-	-80	-	-	-	-	-	-	-	-	-	-	?
Sessanta	60	-	60	-	-	-	-	-	-	-	-	10	-	?
Lead	62	-	-40	15	-	-	-	-	-	-	-	-	-	?
Chlorine	64	-	-	-	-10	-	-	-	-	-	15	-	-	?
Druid's Ring	65	-	30	10	-	10	-	-	5	-	5	-	-	?
Garnet Ring	67	-	50	-	-	-	20	-	-	-	-	20	-	?
Raindrop	69	-	-150	-	-	10	-	-	-	-	25	-	-	?
Mercy	71	-	-	8	8	8	8	8	-	-	-	-	-	?
Black Ring	72	-	-	-	-	-	-	-	-	15	-	-	-	?
Burn	73	-	-	-	-	-	-	-	-	-	-	-	-	?
Malachite	75	-	-	20	20	-30	-	-	10	10	-	-	-	?
Giant's Ring	76	The Bigger Picture	100		-	-	-	-	25	-	-	-	-	?
Gnome's Ring	76	The Bigger Picture	100	-	-	-	-	-	-	-	-	-	25	?
Ghost	77	-	-	-	-	-	-	25	-	-	5	-	15	?
Soldier	78	-	75	-	-	-	-	-	-	-	-	-	-	?
Rainbow	80	-	-	30	30	30	30	30	5	5	5	5	5	?
Nightshade	82	-	-	-	-	-	-20	-	-	-	-	-	-	?
Worship	84	-	-	-	-	-	-	-	-	-	-	-	-	?
Fireball	86	-	-	-	-	-	-	-	-	-	-	30	-	?
Silver	87	-	-	-	-	-	-	-	-	25	-	-	-	?
Dust Devil	88	-	-	-35	-	-	-	-	-	-	-	-	30	?
Finesse	89	-	-	-	-	-	-	-	-	15	15	-	-	?
Hellion	91	-	100	-	-	-40	40	-	-	-	-	45	-	?
Yin	92	-	-	-	-30	30	-	-	-	-	-	-	-	?
Yang	92	-	-	-	30	-30	-	-	-	-	-	-	-	?
Aurora	94	-	-	-	-	-	-	-	8	8	8	8	8	?
Reminder	96	-	-	-	-	-	-	-	-	-	-	-	-	?
Fehu	97	-	-	-	-	-	-	-	-	-	-	-	-	?
Acid	99	-	-50	-	-	-50	-	-	-	-	-	-	-	?
Necklaces
Name	Lv. Min	Quest Req	Health	Earth Def.	Thunder Def.	Water Def.	Fire Def.	Air Def.	Str. Min	Dex. Min	Int. Min	Def. Min	Agi. Min	First ID
Blank	2	-	-	-	-	-	-	-	-	-	-	-	-	?
Seedling	5	-	-	-	-	-	-	-	2	-	-	-	-	-
Beauty	6	-	-	-	-	-	-	-	-	-	-	-	-	?
Travel Charm	10	-	-	-	-	-	-	-	-	-	-	-	-	?
Lithium	14	-	-	-	-	-	-	-	-	-	-	-	-	?
Bovemist Amulet	18	-	-	-	5	5	-	-	-	-	8	-	-	?
Simple Coin	18	-	15	-	-	-	-	-	-	-	-	-	-	?
Charm of the Flea	20	-	20	-	-	-	-	-	-	-	-	-	8	?
Jackal Crest	24	-	20	-	-	-	-	-	-	-	-	-	-	?
Crystal Necklace	28	-	-	5	5	5	5	5	3	3	3	3	3	?
Lucky Coin	31	-	30	-	-	-	-	-	-	-	-	-	-	?
Charm of the Tick	35	-	55	-	-	-	-	-	-	-	-	-	-	?
Geothermal	38	-	-	10	-	-10	-	-	10	-	-	5	-	?
Great Charm	40	-	-	-	-	-	-	-	-	-	-	-	-	?
Wolf Crest	46	-	90	-	-	-	-	-	-	-	-	-	15	26
Charm of the Leech	50	-	55	-	-	-	-	-	-	-	15	-	-	28
Lapis Necklace	59	-	-	-	-	-	-	-	-	-	35	-	-	?
Crash	63	-	-100	40	30	-50	-	-	20	10	-	-	-	?
Charm of the Vampire	65	-	300	-	-	-	-	-	-	-	-	-	-	?
Coyote Crest	67	-	240	-	-	-	-	-	-	20	-	-	-	?
Fiery Torc	69	-	135	-	-40	40	-	-	-	-	-	25	-	?
Talisman Charm	70	-	-	-	-	-	-	-	-	-	-	-	-	?
Autotomized	73	-	-145	-	-	-	-	-	-	-	-	-	35	?
Sealing Coin	76	-	325	-	-	-	-	-	-	-	-	-	-	?
Asbestos	80	-	-185	-	-	-	-	-	-	-	-	-	-	?
Windy Torc	83	-	200	-50	-	-	-	50	-	-	-	-	30	?
Sowilo	87	-	400	-55	45	-55	45	-	-	20	-	20	-	?
Runic Coin	90	-	450	-	-	-	-	-	-	-	-	-	-	?
Cosmium	92	-	150	-	-	-	-	-	10	10	10	10	10	?
Calming Torc	93	-	260	-	-60	60	-	-	-	-	35	-	-	?
Errant	95	-	145	-	-	-	-60	60	-	-	-	-	45	?
Founder	97	-	300	50	-	-	-	-50	25	-	-	35	-	?
Antim	99	-	-	-	-	-	-	-	-	-	-	-	-	?
Bracelets
Name	Lv. Min	Quest Req	Health	Earth Def.	Thunder Def.	Water Def.	Fire Def.	Air Def.	Str. Min	Dex. Min	Int. Min	Def. Min	Agi. Min	First ID
Keeper	4	-	-	-	-	-	-	-	-	-	-	-	-	?
Tree Bracelet	5	-	-	-	-	-	-	-	-	-	-	-	-	?
Rusted Bracelet	7	-	-	-	-	-	-	-	-	-	-	-	-	?
Vertebra	8	-	-	-	-	-	-	-	-	-	-	-	-	?
Iron Bracer	10	-	10	-	-	-	-	-	-	-	-	-	-	?
Bourreau	13	-	-	-	-	-	-	-	-	-	-	-	-	?
Bejeweled Bracelet	17	-	-	5	5	5	5	5	-	-	-	-	-	?
Gust	20	-	-	-	-	-	-5	5	-	-	-	-	5	?
Gilded Cuff	24	-	-	-	-	-	-	-	-	-	-	-	-	?
Dynamic	28	-	-	-7	7	-	-	-	-	10	-	-	-	?
Wolf Paw	30	-	-	5	-	-	-	5	8	-	-	-	8	?
Handcuff	33	-	-	-	-	-	-	-	5	-	-	5	-	?
Trinket	37	-	-	-	-	-	-	-	-	-	-	-	-	22
Vitriol	39	-	-20	10	-	-5	-	-	15	-	-	-	-	?
Nimble Fingers	41	-	-	-	-	-	-	-	-	25	-	-	-	?
Steel Bracer	45	-	50	-	-	-10	12	-	-	-	-	15	-	?
Twist Band	49	-	-	-	-	-	-	-	-	-	10	-	10	?
Great Brace	51	-	110	-	-20	20	-	-	-	-	-	25	-	29
Bamboo Cuff	53	-	-	-	-	-	-	-	10	10	-	-	-	?
Ice Band	56	-	-	-	-	25	-20	-	-	-	15	-	-	?
Insulation	60	-	90	20	20	20	20	20	-	-	-	-	-	?
Lasting	63	-	-	-	-	-	-	-	-	-	-	-	-	?
Foam Bracer	66	-	-	-	-45	30	-	10	-	-	15	-	-	?
Fog	68	-	-	-40	-25	10	-	30	-	-	10	-	25	?
Neon	71	-	-	-	-	-	-	-	5	5	5	5	5	?
Power Bracelet	74	-	-	-	-	-	-	-	-	-	-	-	-	?
Latchkey	77	-	-	-	-	-	-	-	-	-	-	20	-	?
Broken Gauntlet	79	-	150	-	-	-25	-	-25	15	-	-	15	-	?
Needle Cuff	81	-	-	-	-	-	-	-	-	20	-	-	-	?
